section,tr_name,en_name,route,file,role,status,features,related_subscreens,redesign_required,priority
route,Tanıtım,OnboardingPage,/onboarding,lib/features/onboarding/presentation/pages/onboarding_page.dart,Guest,production ready,Kod mockup slaytları; skip → login,—,Evet,P2
route,Giriş,LoginPage,/login,lib/features/auth/presentation/pages/login_page.dart,Guest,production ready,Email/şifre; Google; Facebook; persona seçici; login attempt guard,Forgot Password Sheet,Evet,P0
route,Kayıt,RegisterPage,/register,lib/features/auth/presentation/pages/register_page.dart,Guest,production ready,Hesap oluşturma formu,—,Evet,P0
route,Çalışma Alanı Kurulumu,WorkspaceSetupPage,/workspace-setup,lib/features/workspace/presentation/pages/workspace_setup_page.dart,Auth,production ready,Ofis oluştur/katıl niyeti,Office Gate,Evet,P0
route,Rol Seçimi,RoleSelectionPage,/role-selection,lib/features/auth/presentation/pages/role_selection_page.dart,Auth,production ready,Yönetici vs danışman yolu,—,Evet,P0
route,Ofis Kapısı,OfficeGatePage,/office,lib/features/office/presentation/pages/office_gate_page.dart,Auth,production ready,Oluştur veya davet ile katıl,CreateOffice; JoinOffice,Evet,P0
route,Ofis Oluştur,CreateOfficePage,/office/create,lib/features/office/presentation/pages/create_office_page.dart,Auth; Broker,production ready,Yeni ofis formu,—,Evet,P0
route,Ofise Katıl,JoinOfficePage,/office/join,lib/features/office/presentation/pages/join_office_page.dart,Auth; Consultant,production ready,Davet kodu girişi,—,Evet,P0
route,Davet Oluştur,CreateOfficeInvitePage,/office/invite/create,lib/features/office/presentation/pages/create_office_invite_page.dart,Broker; Admin,production ready,Davet link/kod üretimi,Share sheet,Evet,P1
route,Ofis Kurtarma,OfficeRecoveryPage,/office/recovery,lib/features/office/presentation/pages/office_recovery_page.dart,Auth,production ready,Üyelik tutarsızlığı kurtarma,—,Evet,P1
route,Ofis Yönetimi,OfficeAdminPage,/office/admin,lib/features/office/presentation/pages/office_admin_page.dart,Broker; Admin,partial,Üye/davet/platform durumu (Phase 1.3),CreateOfficeInvite,Evet,P1
route,Mesaj Merkezi,MessageCenterPage,/messages,lib/features/messages/presentation/pages/message_center_page.dart,Consultant; Admin; Broker,partial,Firestore ekip kanalları; DM; harici platform → Coming Soon,TeamThreadPage; Coming Soon sheet,Evet,P0
route,Ekip Sohbeti,TeamThreadPage,/messages/thread,lib/features/messages/presentation/pages/team_thread_page.dart,Consultant; Admin; Broker,production ready,Gerçek zamanlı thread (extra: officeId channelId),—,Evet,P0
